isco_code,title,definition,tasks,major_code,submajor_code,major_group,submajor_group,prompt_text
111,Legislators and Senior Officials,"Legislators and senior officials determine, formulate, advise on and direct the implementation of policies of national, state, regional or local governments or communities, and of special interest organizations. They make, ratify, amend or repeal laws, public rules and regulations and plan, organize, direct, control and evaluate the overall activities of government departments and agencies, traditional communities and special-interest organizations.","Tasks performed usually include: presiding over or participating in the proceedings of legislative bodies and administrative councils of governments, legislative assemblies, local communities and special-interest organizations; serving on government administrative boards or official committees; investigating matters of concern to the public and promoting the interests of constituents; formulating and advising on government policy, budgets, laws and regulations; establishing objectives for organizations and formulating or approving and evaluating programmes and policies and  procedures for their implementation; recommending, reviewing, evaluating and approving documents, briefs and reports submitted; ensuring appropriate systems and procedures are developed and implemented to provide budgetary control; allocating the use of communal land and other resources; performing ceremonial duties and representing the government, organization or community at official occasions and in meetings, negotiations, conventions and public hearings.",1,11,Managers,"Chief Executives, Senior Officials and Legislators","Major group:
Managers

Sub-major group:
Chief Executives, Senior Officials and Legislators

Minor group:
Legislators and Senior Officials

Definition:
Legislators and senior officials determine, formulate, advise on and direct the implementation of policies of national, state, regional or local governments or communities, and of special interest organizations. They make, ratify, amend or repeal laws, public rules and regulations and plan, organize, direct, control and evaluate the overall activities of government departments and agencies, traditional communities and special-interest organizations.

Tasks include:
Tasks performed usually include: presiding over or participating in the proceedings of legislative bodies and administrative councils of governments, legislative assemblies, local communities and special-interest organizations; serving on government administrative boards or official committees; investigating matters of concern to the public and promoting the interests of constituents; formulating and advising on government policy, budgets, laws and regulations; establishing objectives for organizations and formulating or approving and evaluating programmes and policies and  procedures for their implementation; recommending, reviewing, evaluating and approving documents, briefs and reports submitted; ensuring appropriate systems and procedures are developed and implemented to provide budgetary control; allocating the use of communal land and other resources; performing ceremonial duties and representing the government, organization or community at official occasions and in meetings, negotiations, conventions and public hearings."
112,Managing Directors and Chief Executives,"Managing directors and chief executives formulate and review the policies and plan, direct, coordinate and evaluate the overall activities of enterprises or organizations (except special-interest organizations and government departments) with the support of other managers, usually within guidelines established by a board of directors or a governing body to whom they are answerable for the operations undertaken and results.","Tasks performed usually include: planning, directing and coordinating the general functioning of an enterprise or organization; reviewing the operations and results of the enterprise or organization, and reporting to boards of directors and governing bodies; determining objectives, strategies, policies and programmes for the enterprise or organization; providing overall direction and management to organizations; establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources; authorizing material, human and financial resources to implement organizational policies and programmes; monitoring and evaluating performance of the organization or enterprise against established objectives and policies; consulting with senior subordinate staff and reviewing recommendations and reports; representing the organization at official occasions, in negotiations, at conventions, seminars, public hearings and forums; selecting or approving the selection of senior staff; ensuring the organization complies with relevant legislation and regulations.",1,11,Managers,"Chief Executives, Senior Officials and Legislators","Major group:
Managers

Sub-major group:
Chief Executives, Senior Officials and Legislators

Minor group:
Managing Directors and Chief Executives

Definition:
Managing directors and chief executives formulate and review the policies and plan, direct, coordinate and evaluate the overall activities of enterprises or organizations (except special-interest organizations and government departments) with the support of other managers, usually within guidelines established by a board of directors or a governing body to whom they are answerable for the operations undertaken and results.

Tasks include:
Tasks performed usually include: planning, directing and coordinating the general functioning of an enterprise or organization; reviewing the operations and results of the enterprise or organization, and reporting to boards of directors and governing bodies; determining objectives, strategies, policies and programmes for the enterprise or organization; providing overall direction and management to organizations; establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources; authorizing material, human and financial resources to implement organizational policies and programmes; monitoring and evaluating performance of the organization or enterprise against established objectives and policies; consulting with senior subordinate staff and reviewing recommendations and reports; representing the organization at official occasions, in negotiations, at conventions, seminars, public hearings and forums; selecting or approving the selection of senior staff; ensuring the organization complies with relevant legislation and regulations."
121,Business Services and Administration Managers,"Business services and administration managers plan, organize, direct, control and coordinate the financial, administrative, human resource, policy and planning activities of organizations, or of enterprises that provide such services to other enterprises and organizations.","Tasks performed usually include: formulating and administering policy advice, strategic and financial planning; establishing and directing operational and administrative procedures; implementing, monitoring and evaluating strategies and policies; providing advice to senior managers and board members on financial, administrative strategic, policy, programme and legislative issues; ensuring compliance with relevant legislation, regulations and standards; controlling selection, training and performance of staff; preparing budgets and overseeing financial operations; consulting with the chief executive and with managers of other departments or sections; controlling expenditure and ensuring the efficient use of resources; representing the organization in negotiations, and at conventions, seminars, public hearings and forums.",1,12,Managers,Administrative and Commercial Managers,"Major group:
Managers

Sub-major group:
Administrative and Commercial Managers

Minor group:
Business Services and Administration Managers

Definition:
Business services and administration managers plan, organize, direct, control and coordinate the financial, administrative, human resource, policy and planning activities of organizations, or of enterprises that provide such services to other enterprises and organizations.

Tasks include:
Tasks performed usually include: formulating and administering policy advice, strategic and financial planning; establishing and directing operational and administrative procedures; implementing, monitoring and evaluating strategies and policies; providing advice to senior managers and board members on financial, administrative strategic, policy, programme and legislative issues; ensuring compliance with relevant legislation, regulations and standards; controlling selection, training and performance of staff; preparing budgets and overseeing financial operations; consulting with the chief executive and with managers of other departments or sections; controlling expenditure and ensuring the efficient use of resources; representing the organization in negotiations, and at conventions, seminars, public hearings and forums."
122,"Sales, Marketing and Development Managers","Sales, marketing and development managers plan, organize, direct, control and coordinate the advertising, public relations, research and development, and sales and marketing activities of enterprises and organizations, or of enterprises that provide such services to other enterprises and organizations.","Tasks performed usually include: formulating and implementing policies and plans for advertising, public relations, product development, sales and marketing in consultation with other managers; directing the development of initiatives for new products or scientific research; marketing, public relations and advertising campaigns; determining and directing sales activities, product mix, customer service standards and merchandising methods and distribution policy; setting prices and credit arrangements; establishing and managing budgets and controlling expenditure to ensure the efficient use of resources; overseeing the selection, training and performance of staff; representing the enterprise or organization at conventions, trade exhibitions and other forums.",1,12,Managers,Administrative and Commercial Managers,"Major group:
Managers

Sub-major group:
Administrative and Commercial Managers

Minor group:
Sales, Marketing and Development Managers

Definition:
Sales, marketing and development managers plan, organize, direct, control and coordinate the advertising, public relations, research and development, and sales and marketing activities of enterprises and organizations, or of enterprises that provide such services to other enterprises and organizations.

Tasks include:
Tasks performed usually include: formulating and implementing policies and plans for advertising, public relations, product development, sales and marketing in consultation with other managers; directing the development of initiatives for new products or scientific research; marketing, public relations and advertising campaigns; determining and directing sales activities, product mix, customer service standards and merchandising methods and distribution policy; setting prices and credit arrangements; establishing and managing budgets and controlling expenditure to ensure the efficient use of resources; overseeing the selection, training and performance of staff; representing the enterprise or organization at conventions, trade exhibitions and other forums."
131,"Production Managers in Agriculture, Forestry and Fisheries","Production managers in agriculture, forestry and fisheries plan, direct, and coordinate production in large scale agricultural, horticultural, forestry aquaculture and fishery operations such as plantations, large ranches, collective farms and co-operatives to grow and harvest crops,  breed and raise livestock, fish and shellfish and to catch and harvest fish and other forms of aquatic life.","Tasks performed usually include: monitoring market activity and planning production to meet contract requirements and market demand; establishing and managing budgets, monitoring production output and costs, recording information such as farm and fisheries  management practices, and preparing financial and operational reports; conferring with buyers to arrange for the sale of crops, catch and stock;  contracting with farmers, skippers or independent owners for production of produce and  management of production; planning the type, intensity and sequence of operations; purchasing machinery, equipment, and supplies; identifying and controlling environmental toxins, weeds, pests and diseases; organizing  operations such as maintaining buildings, water supply systems and equipment; overseeing the selection, training and performance of workers and contractors.",1,13,Managers,Production and Specialized Services Managers,"Major group:
Managers

Sub-major group:
Production and Specialized Services Managers

Minor group:
Production Managers in Agriculture, Forestry and Fisheries

Definition:
Production managers in agriculture, forestry and fisheries plan, direct, and coordinate production in large scale agricultural, horticultural, forestry aquaculture and fishery operations such as plantations, large ranches, collective farms and co-operatives to grow and harvest crops,  breed and raise livestock, fish and shellfish and to catch and harvest fish and other forms of aquatic life.

Tasks include:
Tasks performed usually include: monitoring market activity and planning production to meet contract requirements and market demand; establishing and managing budgets, monitoring production output and costs, recording information such as farm and fisheries  management practices, and preparing financial and operational reports; conferring with buyers to arrange for the sale of crops, catch and stock;  contracting with farmers, skippers or independent owners for production of produce and  management of production; planning the type, intensity and sequence of operations; purchasing machinery, equipment, and supplies; identifying and controlling environmental toxins, weeds, pests and diseases; organizing  operations such as maintaining buildings, water supply systems and equipment; overseeing the selection, training and performance of workers and contractors."
132,"Manufacturing, Mining, Construction and Distribution Managers","Manufacturing, mining, construction, and distribution managers plan, organize, and coordinate the manufacturing, mineral extraction, construction, supply, storage and transportation operations, either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers.","Tasks performed usually include: planning details of activities in terms of output quality and quantity, cost, timeliness and labour requirements; controlling the operation of plant and quality procedures through planning of maintenance, designation of operating hours and supply of equipment; preparing tenders and contract bids; establishing and managing budgets, monitoring production output and costs, and adjusting processes and resources to minimize costs; overseeing the acquisition and installation of new plant and equipment; controlling the preparation of production records and reports; coordinating the implementation of health and safety requirements; planning and directing daily operations; overseeing the selection, training and performance of staff.",1,13,Managers,Production and Specialized Services Managers,"Major group:
Managers

Sub-major group:
Production and Specialized Services Managers

Minor group:
Manufacturing, Mining, Construction and Distribution Managers

Definition:
Manufacturing, mining, construction, and distribution managers plan, organize, and coordinate the manufacturing, mineral extraction, construction, supply, storage and transportation operations, either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers.

Tasks include:
Tasks performed usually include: planning details of activities in terms of output quality and quantity, cost, timeliness and labour requirements; controlling the operation of plant and quality procedures through planning of maintenance, designation of operating hours and supply of equipment; preparing tenders and contract bids; establishing and managing budgets, monitoring production output and costs, and adjusting processes and resources to minimize costs; overseeing the acquisition and installation of new plant and equipment; controlling the preparation of production records and reports; coordinating the implementation of health and safety requirements; planning and directing daily operations; overseeing the selection, training and performance of staff."
133,Information and Communications Technology Service managers,"Information and communications technology service managers plan, direct, and coordinate the acquisition, development, maintenance and use of computer and telecommunication systems, either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers.","Tasks performed usually include: consulting with users, management, vendors, and technicians to assess computing needs and system requirements and specifying technology to meet those needs; formulating and directing information and communication technology (ICT) strategies, policies and plans; directing the selection and installation of ICT resources and the provision of user training; directing ICT operations, analysing workflow, establishing priorities, developing standards and setting deadlines; overseeing the security of ICT systems; assigning, reviewing, managing and leading the work of systems analysts, programmers, and other computer-related workers; evaluating the organization's technology use and needs and recommending improvements such as hardware and software upgrades; establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources; establishing and directing operational and administrative procedures; overseeing the selection, training and performance of staff; representing the enterprise or organization at ICT-related conventions, seminars and conferences.",1,13,Managers,Production and Specialized Services Managers,"Major group:
Managers

Sub-major group:
Production and Specialized Services Managers

Minor group:
Information and Communications Technology Service managers

Definition:
Information and communications technology service managers plan, direct, and coordinate the acquisition, development, maintenance and use of computer and telecommunication systems, either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers.

Tasks include:
Tasks performed usually include: consulting with users, management, vendors, and technicians to assess computing needs and system requirements and specifying technology to meet those needs; formulating and directing information and communication technology (ICT) strategies, policies and plans; directing the selection and installation of ICT resources and the provision of user training; directing ICT operations, analysing workflow, establishing priorities, developing standards and setting deadlines; overseeing the security of ICT systems; assigning, reviewing, managing and leading the work of systems analysts, programmers, and other computer-related workers; evaluating the organization's technology use and needs and recommending improvements such as hardware and software upgrades; establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources; establishing and directing operational and administrative procedures; overseeing the selection, training and performance of staff; representing the enterprise or organization at ICT-related conventions, seminars and conferences."
134,Professional Services Managers,"Professional services managers plan, direct and coordinate the provision of childcare, health, welfare, education and other professional services, and manage the branches of institutions providing financial and insurance services.","Tasks performed usually include: formulating policies and plans for the provision of services and operation of establishments; setting standards and objectives; developing and implementing programmes and services to meet the needs of clients; directing and coordinating the allocation of resources; liaising with parents, boards, funding bodies, the community representatives and related agencies to discuss areas of cooperation and coordination; monitoring and controlling expenditure; overseeing the selection, development and performance of staff; preparing, or arranging for the preparation of, reports, budgets and forecasts; representing the organization in negotiations other agencies, and at conventions, seminars, public hearings and forums.",1,13,Managers,Production and Specialized Services Managers,"Major group:
Managers

Sub-major group:
Production and Specialized Services Managers

Minor group:
Professional Services Managers

Definition:
Professional services managers plan, direct and coordinate the provision of childcare, health, welfare, education and other professional services, and manage the branches of institutions providing financial and insurance services.

Tasks include:
Tasks performed usually include: formulating policies and plans for the provision of services and operation of establishments; setting standards and objectives; developing and implementing programmes and services to meet the needs of clients; directing and coordinating the allocation of resources; liaising with parents, boards, funding bodies, the community representatives and related agencies to discuss areas of cooperation and coordination; monitoring and controlling expenditure; overseeing the selection, development and performance of staff; preparing, or arranging for the preparation of, reports, budgets and forecasts; representing the organization in negotiations other agencies, and at conventions, seminars, public hearings and forums."
141,Hotel and Restaurant Managers,"Hotel and restaurant managers plan, organize and direct the operations of establishments that provide accommodation, meals, beverages and other hospitality services.","Tasks performed usually include: planning and organizing special functions, sporting, gaming and entertainment activities; directing and overseeing reservation, reception, room service and housekeeping activities; observing liquor, gaming, health and other laws and regulations; monitoring quality at all stages of preparation and presentation of food and services; controlling the selection, training and supervision of staff; ensuring compliance with occupational health and safety regulations.",1,14,Managers,"Hospitality, Retail and Other Services Managers","Major group:
Managers

Sub-major group:
Hospitality, Retail and Other Services Managers

Minor group:
Hotel and Restaurant Managers

Definition:
Hotel and restaurant managers plan, organize and direct the operations of establishments that provide accommodation, meals, beverages and other hospitality services.

Tasks include:
Tasks performed usually include: planning and organizing special functions, sporting, gaming and entertainment activities; directing and overseeing reservation, reception, room service and housekeeping activities; observing liquor, gaming, health and other laws and regulations; monitoring quality at all stages of preparation and presentation of food and services; controlling the selection, training and supervision of staff; ensuring compliance with occupational health and safety regulations."
142,Retail and Wholesale Trade Managers,"Retail and wholesale trade managers plan, organize, coordinate and control the operations of establishments that sell goods on a retail or wholesale basis. They are responsible for the budgets, staffing and strategic and operational direction of shops, or of organizational units within shops that sell particular types of product.","Tasks performed usually include - determining product mix, stock levels and service standards; formulating and implementing purchasing and marketing policies, and setting prices; promoting and advertising the establishment's goods and services; maintaining records of stock levels and financial transactions; undertaking budgeting for the establishment; controlling selection, training and supervision of staff; ensuring compliance with occupational health and safety regulations.",1,14,Managers,"Hospitality, Retail and Other Services Managers","Major group:
Managers

Sub-major group:
Hospitality, Retail and Other Services Managers

Minor group:
Retail and Wholesale Trade Managers

Definition:
Retail and wholesale trade managers plan, organize, coordinate and control the operations of establishments that sell goods on a retail or wholesale basis. They are responsible for the budgets, staffing and strategic and operational direction of shops, or of organizational units within shops that sell particular types of product.

Tasks include:
Tasks performed usually include - determining product mix, stock levels and service standards; formulating and implementing purchasing and marketing policies, and setting prices; promoting and advertising the establishment's goods and services; maintaining records of stock levels and financial transactions; undertaking budgeting for the establishment; controlling selection, training and supervision of staff; ensuring compliance with occupational health and safety regulations."
